词牌,数量
惜花容,1
绿头鸭・多丽,12
玉楼宴,1
金人捧露盘,8
金盏倒垂莲,5
百宝装・新燕过妆楼,1
玉胡蝶・玉蝴蝶,4
金盏子,8
庆寿光,1
黄鹂绕碧树,2
春晴,1
脱银袍,2
玉叶重黄,1
并蒂芙蓉,1
寿星明・沁园春,3
黄河清,2
舜韶新,2
吴音子,2
遍地花,3
调笑转踏・调笑令,12
茶瓶儿,4
无闷,5
金明春・金明池,1
安平乐慢,2
惜双双令・惜分飞,1
青门饮,4
瑶池宴令・越江吟,1
梦扬州,1
满园花・促拍满路花,1
添春色・醉乡春,1
醉太平,7
望云涯引,1
吊严陵,1
梦玉人引,8
帝台春,1
幔卷绸・慢卷绸,1
望春回,1
天宁乐・金人捧露盘,1
□□□・七娘子,1
鸳鸯语・七娘子,1
璧月堂・小重山,1
群玉轩・小重山,1
□□□・小重山,1
辨弦声・迎春乐,1
攀鞍态・迎春乐,1
辟寒金・迎春乐,1
尔汝歌・清商怨,1
□□□・清商怨,1
半死桐・鹧鸪天,1
翦朝霞・鹧鸪天,1
避少年・鹧鸪天,1
□□□・鹧鸪天,1
千叶莲・鹧鸪天,1
第一花・鹧鸪天,1
花想容・武陵春,1
□□□・捣练子,1
夜捣衣・捣练子,1
杵声齐・捣练子,1
夜如年・捣练子,1
翦征袍・捣练子,1
望书归・捣练子,1
醉厌厌・南歌子,1
窗下绣・一落萦,1
艳声歌・添声杨柳枝,1
唤春愁・添声杨柳枝,1
花幕暗・添声杨柳枝,1
晚云高・添声杨柳枝,1
钓船归・添声杨柳枝,1
爱孤云・添声杨柳枝,1
替人愁・添声杨柳枝,1
梦江南・忆江南,3
愁风月・生查子,1
绿罗裙・生查子,1
陌上郎・生查子,1
卷春空・定风波,1
桃源行・蝶恋花,1
西笑吟・蝶恋花,1
望长安・蝶恋花,1
呈纤手・玉楼春,1
归风便・玉楼春,1
续渔歌・玉楼春,1
惜馀春・踏莎行,1
题醉袖・踏莎行,1
阳羡歌・踏莎行,1
芳心苦・踏莎行,1
平阳兴・踏莎行,1
晕眉山・踏莎行,1
思牛女・踏莎行,1
负心期・浣溪沙,1
醉中真・浣溪沙,1
频载酒・浣溪沙,1
掩萧斋・浣溪沙,1
杨柳陌・浣溪沙,1
换追风・浣溪沙,1
最多宜・浣溪沙,1
锦缠头・浣溪沙,1
将进酒・梅花引,1
行路难・梅花引,1
东邻妙・玉楼春,1
问歌颦・雨中花令,1
画楼空・诉衷情,1
偶相逢・诉衷情,1
步花间・诉衷情,1
醉梦迷・采桑子,1
忍泪吟・采桑子,1
凌・金人捧露盘,1
秋风叹・燕瑶池,1
断湘弦・万年欢,1
子夜歌,2
独倚楼・更漏子,1
翻翠袖・更漏子,1
付金钗・更漏子,1
伴登临・采桑子,1
苗而秀・采桑子,1
东吴乐・尉迟杯,1
台城游・水调歌头,1
潇湘雨・满庭芳,1
念离群・沁园春,1
宛溪柳・六么令,1
伤春曲・满江红,1
横塘路・青玉案,1
人南渡・感皇恩,1
薄幸,6
伴云来・天香,1
念良游・满江红,1
寒松叹・声声慢,1
凤求凰・声声慢,1
