词人,诗词数量
吴镒,2
杨冠卿,36
崔敦诗,2
赵汝愚,1
赵善扛,14
赵善括,49
程垓,157
虞俦,2
徐似道,5
徐安国,4
黄人杰,48
蔡戡,3
何澹,5
陈三聘,72
石孝友,154
韩玉,28
熊良翰,1
熊可量,1
熊上达,1
苏十能,1
朱景文,1
欧阳光祖,2
罗椿,1
游九言,4
刘光祖,11
何师心,1
赵蕃,3
何令修,1
马子严,29
赵师侠,154
陈亮,74
杨炎正,38
俞灏,1
连久道,1
赵师,1
刘过,78
蔡幼学,1
卢炳,63
姜夔,87
汪莘,68
曹彦约,1
张潞,1
崔与之,2
吴琚,6
刘翰,7
杜,3
刘仙伦,31
杜旃,1
韩彦古,1
张祥,1
张履信,2
赵昂,1
徐,2
郭应祥,129
李壁,10
胡惠斋,2
谢直,1
高似孙,4
易祓,3
易祓妻,1
章斯才,2
危稹,3
王居安,2
王克勤,1
锺将之,3
吴礼之,20
陈善,1
丁黼,1
俞国宝,14
徐冲渊,1
李好义,2
程准,1
高翥,2
高惟月,1
彭叔夏,1
应,1
吴康,2
汪,13
虞刚简,1
张拭,1
赵希明,1
程珌,43
朱用之,1
厉元范,1
郑域,11
王澡,2
赵希,1
戴复古,46
戴复古妻,1
李子酉,1
徐梦龙,1
赵扩,1
方信孺,1
龚大明,6
陈楠,11
史弥巩,1
徐鹿卿,12
邹应龙,6
邹应博,3
黄某,1
叶秀发,1
李刘,11
郑清之,1
陈鹄,1
李仲虺,1
黄简,3
陈耆卿,2
林表民,1
薛师石,7
史达祖,112
李从周,10
卢祖皋,96
孙居敬,8
郑梦协,1
真德秀,1
留元刚,1
熊节,1
范炎,1
汪相如,1
张敬斋,1
徐照,5
可旻,20
净圆,12
刘学箕,38
林正大,41
洪咨夔,44
赵与洽,2
李致远,1
张琳,1
邬虑,1
冯熔,1
刘镇2,26
张侃,4
曾揆,5
曹豳,2
周文璞,2
王武子,2
魏子敬,1
韩,6
卓田,7
锦溪,3
李仲光,3
孙惟信,11
张端义,2
卫元卿,2
彭止,2
李铨,1
王大烈,2
程公许,3
包恢,1
岳甫,2
岳珂,8
朱藻,1
陈以庄,3
苏,2
许,1
王迈,19
叶路钤,2
曾开国,1
彭耜,3
赵葵,1
方味道,1
黄机,96
严羽,2
严仁,30
严参,2
张辑,44
苏茂一,3
史愚,1
赵灌园,1
葛长庚,135
刘克庄,269
蒋捷,99
陈德武,65
赵癯斋,1
程正同,5
阳枋,2
周端臣,9
赵福元,5
李亿,3
刘颉,1
冯取洽,24
赵以夫,68
郑觉斋,3
张榘,50
刘克逊,1
王广文,1
宋自道,1
宋自逊,7
黄载,5
王平子,1
俞文豹,1
赵希迈,2
吴渊,6
曾寓轩,2
吴淇,1
杜东,1
赵汝迕,1
楼采,8
雷应春,2
包荣父,1
游文仲,1
刘清夫,5
祝穆,2
周文谟,1
李好古1,14
阮秀实,1
刘子寰,19
姚镛,1
尹焕,3
夏元鼎,30
王野,3
哀长吉,6
黄师参,1
李义山,1
牟子才,1
戴翼,2
徐经孙,5
冯去非,3
熊大经,1
张□□,1
赵某,1
翁定,1
留元崇,1
沈刚孙,1
王澜,1
吴潜,256
方君遇,1
平江妓,1
陈垲,1
淮上女,1
黄孝迈,4
吴千能,1
史隽之,1
张友仁,1
王柏,1
刘震孙,1
周晋,3
曾原一,3
赵希囿,1
江万里,1
萧廷之,24
朱涣,2
周弼,2
黄时龙,3
陈云,2
陈东甫,3
黄中,1
李曾伯,202
郑熏初,4
余,1
赵崇嶓,20
方岳,79
楼,2
徐宝之,4
祖吴,2
周申,2
赵汝腾,1
赵孟坚,11
赵崇霄,1
马光祖,1
李南金,1
萧,3
萧泰来,2
马天骥,1
黎道静,1
黄判院,1
薛泳,1
徐元杰,1
国学生,1
陆叡,3
史可堂,2
陈诜,1
余桂英,1
曾原郕,2
许棐,20
陈策,2
李昴英,30
翁元龙,20
翁孟寅,5
万俟绍之,4
丁宥,4
周氏,1
潘牥,5
赵希��,1
赵希□,1
孙吴会,1
赵溍,2
刘澜,4
魏庭玉,2
李霜涯,1
王谌,7
厉寺正,1
施枢,3
储泳,2
刘子实,2
翁合,2
王庚,1
黄铸,2
李宏模,1
杨子咸,1
太学士人,1
李之问,1
吴敏德,1
郭子正,3
鄱阳护…,1
尹词客,2
王氏,1
虞㠭,1
洪瑹,16
楼枎,3
章谦亨,9
王同祖,3
杨伯,1
李彭老,22
李莱老,17
黄应武,1
如愚居士,1
林革,1
曾宏正,1
吴景伯,1
邓有功,2
李振祖,1
汤恢,9
李演,7
卫宗武,11
李敬则,1
吴益,1
利登,13
吴势卿,1
刘浩,1
赵希汰,1
徐俨夫,1
陈合,1
李芸子,1
张韫,1
游子西,1
施乘之,1
周济川,1
应次蘧,1
李璮,1
黄升,39
杨泽民,91
陈郁,4
冯伟寿,6
陈无咎,1
陈草阁,1
徐介轩,1
章耐轩,1
昭顺老人,1
